ID,Time,Person ID,User,Item Code,Item Name,Category,Action,Qty,Location
87,2026-02-13T19:24:40,540951,Biswa,00004,Demo_QR_02,Tools,RETURN,1,
86,2026-02-13T19:23:49,540951,Biswa,00004,Demo_QR_02,Tools,TAKE,1,
85,2026-02-13T18:14:25,842478,Adib,00003,Demo_RFID_01,Tools,RETURN,1,
84,2026-02-13T18:13:24,842478,Adib,00003,Demo_RFID_01,Tools,TAKE,1,
83,2026-02-10T19:21:49,540951,Biswa,0017,SSD_512gb_W/Enclosure,Assets,TAKE,1,
82,2026-02-10T16:12:35,540951,Biswa,0002,YTB_J00_Key_NFADAS,Tools,RETURN,1,
81,2026-02-10T16:12:21,540951,Biswa,0002,YTB_J00_Key_NFADAS,Tools,TAKE,1,
80,2026-02-10T15:54:52,580171,Trushal,0002,YTB_J00_Key_NFADAS,Tools,RETURN,1,
79,2026-02-10T15:54:36,580171,Trushal,0002,YTB_J00_Key_NFADAS,Tools,TAKE,1,
78,2026-02-10T13:15:25,540870,Saurabh_EN-2X,0002,YTB_J00_Key_NFADAS,Tools,RETURN,1,
77,2026-02-10T13:14:24,540870,Saurabh_EN-2X,0002,YTB_J00_Key_NFADAS,Tools,TAKE,1,
76,2026-02-09T23:14:01,540951,Biswa,0002,YTB_J00_Key_NFADAS,Tools,RETURN,1,
75,2026-02-09T23:13:16,540951,Biswa,0002,YTB_J00_Key_NFADAS,Tools,TAKE,1,
74,2026-02-07T22:20:12,540951,Biswa,0002,YTB_J00_Key_NFADAS,Tools,RETURN,1,
73,2026-02-06T22:07:24,540951,Biswa,0002,YTB_J00_Key_NFADAS,Tools,TAKE,1,
72,2026-01-09T19:55:13,556521,Amal,0017,SSD_512gb_W/Enclosure,Assets,RETURN,1,
71,2026-01-09T19:54:38,556521,Amal,0017,SSD_512gb_W/Enclosure,Assets,TAKE,1,
70,2026-01-09T19:53:32,540951,Biswa,0002,YTB_J00_Key_NFADAS,Tools,RETURN,1,
69,2026-01-09T19:51:16,540951,Biswa,0002,YTB_J00_Key_NFADAS,Tools,TAKE,1,
68,2026-01-08T16:37:05,580171,Trushal,0002,YTB_J00_Key_NFADAS,Tools,RETURN,1,
67,2026-01-08T16:36:12,580171,Trushal,0002,YTB_J00_Key_NFADAS,Tools,TAKE,1,
66,2026-01-08T16:32:53,580171,Trushal,0016,Screw_driver_Red_amazon_basic,Tools,RETURN,1,A1_MID
